LIBELLE EXAMEN;ANNEE SESSION;MOIS SESSION;SPECIALITE;OPTION SPECIALITE;PARTIC, 1;PARTIC, 2;NUMERO CANDIDAT;CODE EPREUVE;LIBELLE EPREUVE;CODE MATIERE;LIBELLE MATIERE;CONTROLABLE;NOTE;COEFFICIENT EPREUVE;NUMERO GROUPE
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;004;MATHEMATIQUES; ;;O;8;7;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;005;PHYS-CHIMIE; ;;O;8;6;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;005A;PHYS CHIM ECR; ;;N;7;4;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;005B;PHYS CHIM PRA; ;;N;11;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;006-2;SC. INGENIEUR; ;;O;11;8;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;006A-2;SC ING ECRIT; ;;N;11;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;006B-3;SC ING ORAL; ;;N;8,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;006BA;COND REV PROJ; ;;N;3,5;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;006BB;PRSENTAT PROJ; ;;N;5;;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;007;L.V.E. 1;0002;ANGLAIS;O;10;3;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;008;LANGUE VIV. 2; ;;O;6;2;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;008A;LV2 ECRIT;0001;ALLEMAND;N;7;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;008B;LV2 ORAL;0001;ALLEMAND;N;4,5;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;008BA;LV2 COMP ORAL;0001;ALLEMAND;N;4;1;1
BACCALAUREAT GENERAL;2017;06;S;SCI;C;R;0316655480;008BB;LV2 EXP ORALE;0001;ALLEMAND;N;5;1;1
